Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Stop/Start System (Engine Management System)  Description,Lockup Torque Converter,Calc Approach Desc,Cyl Deact?,Trans Creeper Gear
4.4,8,20.538,7,10.0,2,2,Yes,   ,not filled in,^^,N
2.0,4,34.5365,6,15.0,2,2,No,,not filled in,^^,N
3.4,6,31.5932,7,10.0,2,2,none,N,not filled in,N,N
4.4,8,22.0246,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
4.3,6,25.772,6,85.0,1,1,No,,not filled in,^^,N
3.0,6,27.9327,6,10.0,2,2,No,,not filled in,^^,N
4.7,8,20.5806,7,10.0,2,2,none,N,not filled in,^^,N
3.7,6,26.3864,7,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.5,6,30.0207,7,85.0,2,2,Yes,Y,not filled in,N,N
,8,18.413,6,85.0,1,1,No,Y,Derived 5-cycle label,Y,N
2.5,4,38.1862,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
4.4,8,24.8022,8,10.0,2,2,none,,Derived 5-cycle label,N,N
2.0,4,30.8588,8,85.0,2,2,none,   ,Derived 5-cycle label,^^,N
,8,20.3843,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,28.9785,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.8,6,28.0891,7,10.0,2,2,none,N,not filled in,N,N
1.8,4,43.5074,1,15.0,2,2,No,,Derived 5-cycle label,N,N
1.6,4,39.6538,6,10.0,2,2,No,Y,not filled in,N,N
6.3,12,16.2512,7,10.0,2,2,none,,Derived 5-cycle label,^^,N
1.6,4,36.2557,6,10.0,2,2,No,N,not filled in,^^,N
2.0,4,44.3729,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
1.6,4,39.6659,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
,8,22.6159,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
,6,30.4945,7,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.5,6,30.3614,7,85.0,2,2,Yes,,Vehicle Specific 5-cycle label,^^,N
1.3,4,52.2891,1,15.0,2,2,none,   ,Vehicle Specific 5-cycle label,^^,N
,4,34.5259,8,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
,4,36.0919,1,10.0,2,2,No,Y,not filled in,^^,N
,4,31.489,6,10.0,2,2,No,N,not filled in,N,N
3.0,6,29.3582,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
1.6,4,35.2534,6,10.0,2,2,none,Y,not filled in,^^,N
,6,26.4165,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
2.7,4,30.2726,5,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,5,30.5996,6,10.0,2,2,No,Y,not filled in,N,N
,4,31.7685,1,10.0,2,2,No,Y,not filled in,^^,N
5.5,8,22.8851,7,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,8,20.4217,7,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,N,N
2.0,4,36.8678,8,10.0,2,2,Yes,Y,not filled in,N,N
1.4,4,33.84,6,10.0,2,2,No,Y,not filled in,N,N
,6,23.7196,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,29.7643,7,85.0,2,2,Yes,Y,not filled in,^^,N
6.2,8,19.3239,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
2.5,4,41.3004,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.5,4,42.9553,6,10.0,2,2,none,Y,not filled in,^^,N
,4,34.7132,1,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.7,6,26.8969,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
,8,25.3787,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
2.7,6,31.1731,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.0,4,38.4668,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
4.7,8,19.7608,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
5.5,8,24.0623,7,10.0,2,2,Yes,,Derived 5-cycle label,^^,N
,6,23.0678,8,10.0,2,2,No,Y,not filled in,^^,N
,4,36.72,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,24.7921,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
6.2,8,19.7643,7,10.0,2,2,No,   ,not filled in,^^,N
3.7,6,24.8878,6,85.0,2,2,No,,Derived 5-cycle label,^^,N
1.8,4,44.5857,1,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
4.4,8,24.2137,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,6,25.7761,6,85.0,1,1,No,,Derived 5-cycle label,Y,N
2.0,4,32.3228,6,10.0,2,2,none,   ,Derived 5-cycle label,N,N
,6,27.2231,6,15.0,2,2,No,Y,Derived 5-cycle label,^^,N
3.3,6,29.6416,6,10.0,2,2,No,,not filled in,^^,N
3.5,6,27.7782,7,10.0,2,2,Yes,Y,not filled in,^^,N
1.8,4,70.643,1,15.0,2,2,Yes,,not filled in,N,N
,4,38.0961,6,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
3.0,6,30.4321,8,,2,2,No,Y,Derived 5-cycle label,N,N
,4,39.5073,6,10.0,2,2,No,Y,not filled in,N,N
6.4,8,21.8531,5,10.0,1,1,No,,not filled in,Y,N
1.8,4,38.547,6,10.0,2,2,No,N,Derived 5-cycle label,^^,N
6.2,8,17.9556,6,10.0,1,1,No,   ,Derived 5-cycle label,^^,N
2.0,4,32.0168,6,10.0,2,2,No,   ,not filled in,^^,N
,6,22.7455,5,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
,8,17.753,5,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.0,4,34.5259,8,10.0,2,2,Yes,,Derived 5-cycle label,^^,N
5.2,10,19.4796,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
2.5,5,32.0537,5,10.0,2,2,No,,Vehicle Specific 5-cycle label,N,N
,4,47.7243,8,,2,2,No,Y,not filled in,N,N
,4,36.7806,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,31.0709,7,10.0,2,2,Yes,,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,4,43.5176,6,10.0,2,2,No,Y,not filled in,^^,N
2.4,4,33.7787,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,8,22.8351,8,10.0,2,2,No,,Derived 5-cycle label,N,N
2.0,4,31.5709,6,10.0,2,2,No,N,not filled in,^^,N
6.5,12,16.2581,7,10.0,2,2,none,   ,Vehicle Specific 5-cycle label,Y,N
,4,38.0961,6,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
3.0,6,27.2096,8,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
1.6,4,38.2932,6,10.0,2,2,No,N,not filled in,^^,N
,4,32.8775,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,30.0404,8,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,^^,N
,6,24.5122,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,8,25.3787,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,25.8927,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
,4,36.6511,7,10.0,2,2,Yes,Y,Derived 5-cycle label,N,N
,6,24.7921,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
1.8,4,47.4815,1,10.0,2,2,No,Y,not filled in,^^,N
,6,24.1463,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,30.2852,7,85.0,2,2,Yes,   ,not filled in,^^,N
3.7,6,28.3582,6,15.0,2,2,none,,Derived 5-cycle label,^^,N
,6,23.7581,6,15.0,2,2,No,Y,not filled in,N,N
3.4,6,27.9596,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
5.3,8,18.3252,4,85.0,1,1,No,   ,Derived 5-cycle label,^^,N
1.8,4,39.2241,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
6.4,8,21.8531,5,10.0,1,1,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,6,23.7581,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
1.8,4,35.1331,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
2.5,4,32.8068,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,59.4281,1,15.0,2,2,Yes,,Derived 5-cycle label,^^,N
2.4,4,27.6702,4,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
1.4,4,40.0906,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
5.3,8,18.3618,4,85.0,1,1,No,Y,Derived 5-cycle label,N,N
3.0,6,26.4887,7,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
4.6,8,18.6788,4,85.0,1,1,No,Y,not filled in,N,N
3.6,6,29.1393,6,85.0,2,2,No,Y,not filled in,^^,N
4.7,8,26.8613,7,10.0,2,2,Yes,Y,not filled in,^^,N
,8,18.7065,5,85.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,23.8698,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.6,6,27.4438,6,10.0,2,2,none,Y,not filled in,N,N
,4,39.6538,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,31.6394,6,10.0,2,2,No,,Derived 5-cycle label,N,N
,6,38.8734,6,15.0,2,2,Yes,   ,Vehicle Specific 5-cycle label,^^,N
2.0,4,Mod,6,,2,2,No,N,not filled in,^^,N
,6,29.5284,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
4.5,8,18.6649,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
6.7,12,17.4989,8,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
1.6,4,39.1347,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.0,4,29.5075,8,85.0,2,2,No,,Derived 5-cycle label,^^,N
5.0,8,22.6216,6,10.0,2,2,none,Y,not filled in,N,N
,6,24.887,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
,8,21.8636,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.4,6,29.9192,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.7,6,33.6298,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
1.8,4,35.9356,6,15.0,2,2,none,Y,not filled in,N,N
2.5,4,34.5613,6,15.0,2,2,none,,Derived 5-cycle label,^^,N
2.5,4,31.0921,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,31.3793,6,10.0,2,2,No,Y,not filled in,^^,N
6.0,8,15.13,6,85.0,1,1,No,Y,Derived 5-cycle label,N,N
3.6,6,29.2021,6,10.0,2,2,none,Y,not filled in,N,N
,8,23.1471,7,10.0,2,2,Yes,Y,not filled in,^^,N
,8,21.4943,8,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.4,4,33.0426,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.5,4,34.3969,6,15.0,2,2,none,N,not filled in,^^,N
,8,20.1645,8,10.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
,8,18.3618,4,85.0,1,1,No,Y,Derived 5-cycle label,N,N
6.0,12,18.3883,5,10.0,2,1,none,Y,not filled in,^^,N
3.6,6,28.1841,6,85.0,2,2,No,   ,Derived 5-cycle label,N,N
,4,55.2288,6,15.0,2,2,Yes,,Vehicle Specific 5-cycle label,N,N
3.0,6,23.8527,6,85.0,2,2,No,Y,not filled in,^^,N
,6,25.9349,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,40.9298,7,10.0,2,2,No,Y,not filled in,^^,N
2.0,4,34.1556,8,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
,4,30.8901,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
1.8,4,33.0786,7,10.0,2,2,No,Y,not filled in,^^,N
,6,24.7683,8,85.0,2,2,Yes,Y,Derived 5-cycle label,N,N
,8,20.1132,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
,6,28.1631,8,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,33.7545,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.5,6,32.5607,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
,4,44.5744,6,,2,2,No,,Vehicle Specific 5-cycle label,N,N
2.0,4,Mod,6,,2,2,No,Y,Derived 5-cycle label,^^,N
3.5,6,26.0815,6,15.0,2,2,No,,not filled in,^^,N
3.5,6,29.4449,7,10.0,2,2,Yes,   ,not filled in,^^,N
3.5,6,22.0158,6,15.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,23.7628,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
5.3,8,18.3252,4,85.0,1,1,No,   ,Derived 5-cycle label,N,N
,8,20.0593,8,85.0,2,2,Yes,Y,Derived 5-cycle label,N,N
2.4,4,50.3669,6,10.0,2,2,No,,not filled in,^^,N
3.7,6,27.5924,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,26.3378,9,10.0,2,2,none,Y,Derived 5-cycle label,N,N
5.0,8,22.8956,8,85.0,2,2,Yes,,Derived 5-cycle label,^^,N
5.5,8,22.9319,7,10.0,2,2,Yes,,Vehicle Specific 5-cycle label,^^,N
,4,36.8097,7,,2,2,Yes,Y,Derived 5-cycle label,N,N
,4,36.9914,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
1.6,4,41.744,6,10.0,2,2,Yes,Y,not filled in,^^,N
3.6,6,26.7474,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.0,6,29.0058,8,10.0,2,2,none,   ,Derived 5-cycle label,N,N
,6,32.1176,6,15.0,2,2,No,Y,not filled in,^^,N
,6,28.1631,8,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,40.3557,6,15.0,2,2,Yes,   ,Derived 5-cycle label,N,N
3.6,6,24.8373,6,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,^^,N
,4,27.8973,1,10.0,2,2,none,Y,Derived 5-cycle label,N,Y
2.7,4,26.1997,4,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
5.3,8,24.1558,6,85.0,1,1,No,,not filled in,Y,N
1.6,4,36.2557,6,10.0,2,2,No,   ,not filled in,^^,N
2.0,4,39.4043,5,85.0,2,2,No,   ,not filled in,^^,N
2.0,4,35.4215,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.7,6,26.0633,6,10.0,2,2,none,N,not filled in,^^,N
2.4,4,34.0888,6,85.0,2,2,No,   ,Derived 5-cycle label,N,N
3.5,6,31.9688,6,15.0,2,2,No,,not filled in,^^,N
,6,25.3494,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
3.7,6,25.0299,7,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
6.2,8,27.1629,7,10.0,1,1,none,N,Derived 5-cycle label,Y,N
1.4,4,39.3546,6,10.0,2,2,No,N,Derived 5-cycle label,^^,N
6.2,8,19.3239,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,25.982,6,15.0,2,2,No,Y,Derived 5-cycle label,^^,N
1.6,4,40.9233,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
,6,20.9045,8,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
2.0,4,30.5199,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
2.0,4,34.048,8,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,^^,N
,6,24.7683,8,85.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,34.69,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,28.0481,6,15.0,2,2,No,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
2.0,4,30.3066,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
6.2,8,19.7643,7,10.0,2,2,none,Y,not filled in,N,N
3.5,6,23.8827,6,15.0,2,2,none,,Derived 5-cycle label,N,N
6.2,8,18.9615,6,15.0,1,1,No,,Derived 5-cycle label,N,N
,12,19.4396,8,10.0,2,2,No,,Derived 5-cycle label,N,N
5.0,8,22.7512,8,85.0,2,2,Yes,,not filled in,N,N
2.0,4,31.454,6,10.0,2,2,No,Y,not filled in,^^,N
3.5,6,29.9726,7,10.0,2,2,Yes,   ,not filled in,^^,N
5.3,8,18.3618,4,85.0,1,1,none,Y,Derived 5-cycle label,N,N
5.0,8,20.4821,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
,6,23.9963,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,4,24.7909,5,10.0,2,2,No,N,not filled in,^^,N
3.2,6,27.4791,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,25.6562,8,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,27.0797,7,10.0,2,2,No,,Derived 5-cycle label,^^,N
2.0,4,30.8611,6,10.0,2,2,none,N,Vehicle Specific 5-cycle label,^^,N
3.5,6,29.5496,5,10.0,2,2,No,Y,not filled in,N,N
3.5,6,29.0952,7,10.0,2,2,none,Y,not filled in,N,N
2.5,5,31.958,5,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,^^,N
5.0,8,23.7078,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,23.9079,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
5.6,8,17.8807,5,85.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,25.6055,6,85.0,2,2,No,Y,Derived 5-cycle label,^^,N
2.0,4,30.8588,8,85.0,2,2,No,Y,not filled in,N,N
,4,36.4416,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
1.8,4,46.0529,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
6.2,8,23.9058,6,10.0,1,1,none,N,not filled in,N,N
2.0,4,35.9182,8,10.0,2,2,Yes,Y,not filled in,N,N
2.0,4,33.1736,6,10.0,2,2,none,   ,Vehicle Specific 5-cycle label,N,N
1.0,4,48.3501,5,15.0,2,2,none,N,Derived 5-cycle label,N,N
1.8,4,70.643,1,15.0,2,2,Yes,N,not filled in,^^,N
4.0,8,23.5511,8,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,^^,N
2.0,4,36.9299,5,10.0,2,2,No,,Derived 5-cycle label,^^,N
1.6,4,43.7668,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.0,4,36.2994,6,85.0,2,2,No,,Derived 5-cycle label,^^,N
1.5,4,44.781,5,10.0,2,2,No,N,not filled in,^^,N
5.5,12,17.7601,5,10.0,2,1,none,Y,not filled in,^^,N
3.0,6,27.2497,8,10.0,2,2,Yes,   ,Vehicle Specific 5-cycle label,^^,N
1.0,3,50.283,5,10.0,2,2,none,   ,Vehicle Specific 5-cycle label,^^,N
2.4,4,35.3153,6,10.0,2,2,none,,Derived 5-cycle label,^^,N
,8,18.1515,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.4,4,28.1612,6,15.0,2,2,No,N,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
2.5,4,43.1503,6,10.0,2,2,none,,Derived 5-cycle label,^^,N
2.0,4,31.0752,6,10.0,2,2,none,,Derived 5-cycle label,^^,N
3.0,6,30.813,8,10.0,2,2,Yes,Y,not filled in,N,N
4.6,8,23.4963,8,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
1.8,4,40.8968,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
2.0,4,37.1975,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.6,6,27.9923,8,10.0,2,2,none,,Derived 5-cycle label,N,N
,6,26.0969,5,10.0,2,2,No,Y,Derived 5-cycle label,N,N
1.3,4,58.7624,1,10.0,1,1,No,   ,not filled in,^^,N
2.0,4,29.5548,8,85.0,2,2,No,Y,not filled in,N,N
1.5,4,36.3669,6,15.0,2,2,No,,Derived 5-cycle label,^^,N
3.4,6,27.5924,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.4,4,38.0961,6,10.0,2,2,Yes,Y,not filled in,^^,N
2.0,4,26.7395,8,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.5,6,32.5607,6,15.0,2,2,No,,Derived 5-cycle label,N,N
1.6,4,34.5814,6,10.0,2,2,No,   ,not filled in,^^,N
1.6,4,34.5814,6,10.0,2,2,No,   ,not filled in,^^,N
2.0,4,Mod,6,,2,2,No,   ,Derived 5-cycle label,^^,N
,8,21.8546,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.0,4,35.3932,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
4.3,6,20.0268,4,10.0,1,1,No,Y,Derived 5-cycle label,^^,N
3.7,6,24.978,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
2.4,4,35.3768,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
,6,28.4326,8,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
3.5,6,28.9937,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,8,22.0246,6,10.0,2,2,Yes,N,Derived 5-cycle label,^^,N
1.6,4,39.6659,6,10.0,2,2,none,Y,not filled in,^^,N
2.0,4,35.3932,8,10.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
3.5,6,29.6061,6,85.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,22.0084,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.2,6,27.4791,6,10.0,2,2,No,Y,not filled in,N,N
,6,26.4845,6,10.0,2,2,No,Y,not filled in,^^,N
1.8,4,39.0533,6,15.0,2,2,No,,not filled in,^^,N
1.4,4,37.6193,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
1.8,4,58.6599,1,15.0,2,2,Yes,,Derived 5-cycle label,^^,N
6.7,12,17.4989,8,10.0,2,2,none,Y,not filled in,^^,N
1.4,4,40.4989,5,10.0,2,2,none,N,Derived 5-cycle label,N,N
,4,33.9733,5,10.0,2,2,No,N,Derived 5-cycle label,N,N
6.0,8,15.9434,6,85.0,1,1,No,Y,not filled in,N,N
1.6,4,39.4613,6,10.0,2,2,No,N,not filled in,^^,N
,6,28.3124,9,10.0,2,2,No,Y,Derived 5-cycle label,N,N
,8,23.3836,6,15.0,2,2,none,N,Derived 5-cycle label,N,N
2.0,4,47.7243,8,,2,2,No,,not filled in,^^,N
2.4,4,34.0327,6,10.0,2,2,No,Y,not filled in,^^,N
,6,30.0497,6,10.0,2,2,No,Y,Derived 5-cycle label,Y,N
1.8,4,45.8463,1,15.0,2,2,No,,not filled in,N,N
3.4,6,31.5932,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.5,4,54.8426,1,15.0,2,2,none,,Derived 5-cycle label,N,N
2.4,4,32.6932,9,10.0,2,2,none,Y,Derived 5-cycle label,N,N
1.6,4,41.1172,6,10.0,2,2,No,Y,not filled in,^^,N
5.0,8,22.7512,8,10.0,2,2,Yes,,not filled in,N,N
2.5,4,34.9149,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
5.4,8,16.4149,4,85.0,1,1,No,Y,not filled in,^^,N
3.7,6,28.4216,7,10.0,2,2,No,,not filled in,^^,N
3.5,6,29.3878,8,15.0,2,2,No,   ,Vehicle Specific 5-cycle label,^^,N
1.0,3,50.283,5,10.0,2,2,none,N,not filled in,^^,N
1.4,4,44.3585,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.4,4,34.0888,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
